rank,bm25_doc_id,bm25_title,social_doc_id,social_title,social_final_score,social_topical_score,social_community_score,social_author_influence_score,social_credibility_score,tags,what_changed
1,sample-a1001,Should I pay off credit card debt before investing?,sample-a1003,Should I pay off credit card debt before investing?,0.8109,0.8884,0.8727,0.6073,0.9801,credit-card debt investing,moved up 2
2,sample-a1002,Should I pay off credit card debt before investing?,sample-a1001,Should I pay off credit card debt before investing?,0.7701,1.0,0.3753,0.6058,0.9586,credit-card debt investing,moved down 1
3,sample-a1003,Should I pay off credit card debt before investing?,sample-a1002,Should I pay off credit card debt before investing?,0.5755,0.8989,0.0,0.0212,0.6028,credit-card debt investing,moved down 1
4,sample-a1004,How do I get out of credit card debt fastest?,sample-a1033,How can I improve my credit score?,0.5191,0.2734,0.9535,1.0,1.0,credit-score credit-card debt,moved up 4
5,sample-a1005,How do I get out of credit card debt fastest?,sample-a1044,Should I pay extra on my mortgage or invest?,0.5105,0.279,0.892,1.0,1.0,mortgage investing debt,moved up 1
6,sample-a1044,Should I pay extra on my mortgage or invest?,sample-a1031,When should I prioritise retirement contributions?,0.4983,0.2589,0.9282,0.6073,0.9801,retirement investing saving,moved up 4
7,sample-a1034,How can I improve my credit score?,sample-a1004,How do I get out of credit card debt fastest?,0.4891,0.35,0.9194,0.6073,0.9801,credit-card debt budgeting,moved down 3
8,sample-a1033,How can I improve my credit score?,sample-a1005,How do I get out of credit card debt fastest?,0.4427,0.3471,0.1936,0.6058,0.9586,credit-card debt budgeting,moved down 3
9,sample-a1043,Should I pay extra on my mortgage or invest?,sample-a1016,What records do I need for investment taxes?,0.4359,0.125,0.9695,0.6073,0.9801,tax investing capital-gains,entered top 10
10,sample-a1031,When should I prioritise retirement contributions?,sample-a1013,Should I refinance my mortgage?,0.4217,0.0525,0.985,1.0,1.0,mortgage refinance interest-rate,entered top 10
