doc_id,answer_id,question_id,title,question_body,answer_body,tags,answer_score,accepted_answer,comment_count,question_view_count,answer_count,owner_user_id,author_reputation,creation_date,last_activity_date,source,url,aspect,combined_text,age_days,retrieval_score,rank,run
sample-a1,1001,501,Should I pay off credit card debt before investing?,Community question about should i pay off credit card debt before investing?,Pay off high-interest credit card debt before investing. A guaranteed 20% avoided interest cost is usually better than uncertain market returns.,credit-card debt investing,42,True,8,18000,6,201,5800,2025-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/501#answer-1001,debt,Should I pay off credit card debt before investing? Community question about should i pay off credit card debt before investing? Pay off high-interest credit card debt before investing. A guaranteed 20% avoided interest cost is usually better than uncertain market returns. credit-card debt investing,426,20.26418889146305,1,bm25
sample-a2,1002,501,Should I pay off credit card debt before investing?,Community question about should i pay off credit card debt before investing?,"You can contribute enough to get an employer match, but beyond that prioritize the card balance and build a small emergency fund.",credit-card debt investing,23,False,5,18000,6,202,3400,2024-11-16 00:00:00+00:00,2024-11-16 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/501#answer-1002,debt,"Should I pay off credit card debt before investing? Community question about should i pay off credit card debt before investing? You can contribute enough to get an employer match, but beyond that prioritize the card balance and build a small emergency fund. credit-card debt investing",562,17.9836423536782,2,bm25
sample-a16,1016,508,How can I improve my credit score?,Community question about how can i improve my credit score?,"Pay on time, keep utilization low, avoid unnecessary applications, and check reports for errors.",credit-score credit-card debt,40,True,5,25000,5,216,4100,2025-03-03 00:00:00+00:00,2025-03-03 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1016,credit,"How can I improve my credit score? Community question about how can i improve my credit score? Pay on time, keep utilization low, avoid unnecessary applications, and check reports for errors. credit-score credit-card debt",455,6.242142658151601,3,bm25
sample-a10,1010,505,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"Individual stocks can be appropriate if you understand concentration risk, portfolio sizing and tax implications.",etf stocks investing diversification,14,False,4,41000,7,210,17500,2024-01-05 00:00:00+00:00,2024-01-05 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1010,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? Individual stocks can be appropriate if you understand concentration risk, portfolio sizing and tax implications. etf stocks investing diversification",878,1.349091687197919,4,bm25
sample-a9,1009,505,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"For most investors, diversified low-cost ETFs reduce idiosyncratic risk and require less monitoring than individual stocks.",etf stocks investing diversification,38,True,9,41000,7,209,22000,2025-01-04 00:00:00+00:00,2025-01-04 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1009,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? For most investors, diversified low-cost ETFs reduce idiosyncratic risk and require less monitoring than individual stocks. etf stocks investing diversification",513,1.3356680160983523,5,bm25
sample-a11,1011,506,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,"Do not send more money. Preserve records, verify registration with regulators, and report the suspected fraud.",scam fraud risk investing,45,True,10,52000,9,211,15000,2025-05-03 00:00:00+00:00,2025-05-03 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/506#answer-1011,risk,"What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? Do not send more money. Preserve records, verify registration with regulators, and report the suspected fraud. scam fraud risk investing",394,1.2846124702296327,6,bm25
sample-a12,1012,506,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,High guaranteed returns and pressure to act quickly are warning signs. A cautious answer is more useful than optimism here.,scam fraud risk investing,21,False,3,52000,9,212,6200,2024-06-14 00:00:00+00:00,2024-06-14 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/506#answer-1012,risk,What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? High guaranteed returns and pressure to act quickly are warning signs. A cautious answer is more useful than optimism here. scam fraud risk investing,717,1.2488750607425672,7,bm25
sample-a15,1015,508,Is dollar cost averaging better than lump sum investing?,Community question about is dollar cost averaging better than lump sum investing?,"Historically lump sum often has higher expected return, but dollar cost averaging can reduce regret and timing risk.",investing dollar-cost-averaging risk,18,True,2,14000,3,215,9700,2023-10-11 00:00:00+00:00,2023-10-11 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1015,investing,"Is dollar cost averaging better than lump sum investing? Community question about is dollar cost averaging better than lump sum investing? Historically lump sum often has higher expected return, but dollar cost averaging can reduce regret and timing risk. investing dollar-cost-averaging risk",964,0.9694244354064987,8,bm25
sample-a18,1018,509,Do I need a financial advisor?,Community question about do i need a financial advisor?,"A fee-only fiduciary can help with complex tax, estate or retirement planning. For simple investing, a low-cost index approach may be enough.",advisor investing retirement fees,17,False,5,12000,4,218,9500,2024-04-18 00:00:00+00:00,2024-04-18 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1018,investing,"Do I need a financial advisor? Community question about do i need a financial advisor? A fee-only fiduciary can help with complex tax, estate or retirement planning. For simple investing, a low-cost index approach may be enough. advisor investing retirement fees",774,0.8757442079605601,9,bm25
sample-a13,1013,507,Should I refinance my mortgage?,Community question about should i refinance my mortgage?,Refinance when the interest savings exceed closing costs and you expect to keep the loan long enough to break even.,mortgage refinance interest-rate,26,True,3,16000,3,213,4900,2024-10-02 00:00:00+00:00,2024-10-02 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/507#answer-1013,mortgage,Should I refinance my mortgage? Community question about should i refinance my mortgage? Refinance when the interest savings exceed closing costs and you expect to keep the loan long enough to break even. mortgage refinance interest-rate,607,0.7477908378432305,10,bm25
